# salmonsen/2/7/Articles.lst
#
index|Titel och innehåll|0001 0003
|Elmshorn, By i Preussen, Prov. Schleswig-Holstein (Holsten), ligger c. 30 km NV. f. Altona|0131
|Elmsild ell. Skt Elm's Ild, elektriske Lysbuske, som man undertiden i en mørk Nat kan se|0131
|Elmsley, Peter, eng. Filolog, (1773-1825)|0131
|Elna, dansk Kvindenavn, egl. bornholmsk Form af Ellen|0131
|Elne, By i Sydfrankrig, Dept Pyrénées-Orientales, Arrond. Perpignan (Bousillon), 13 km SØ f. Perpignan|0131
|Eloah, se Elohim.|0131
|El-Obeid (Obeid), Hovedstaden i Prov. Kordofan i Angloægyptisk Sudan, ligger ved den nordlige Fod af Djebel Kordofan|0131-0132
|Elodea, se Helodea.|0132
|Éloge (fr.) betyder en Lovtale, mest biografisk|0132
|Elogium (lat.), Indskrift, særlig Gravskrift i det antikke Rom|0132
|Elohim, hebr. Betegnelse for Guddom. Ordet er Flertal af Eloah|0132
|Elohisten, se Pentateuchen.|0132
|Elokution (lat.), Udtalelse, Foredragsmaade, Foredrag.|0132
|Elokvens (af lat. eloquentia), Veltalenhed.|0132
|El Ole, sp. Pantomimedans, indført paa Scenen af den spanske Danserinde Pepita.|0132
|Elongation (lat.) betyder Forlængelsen, alm. specielt Forlængelsen ved Brudgrænsen|0132
|Elongation, et svingende Legemes, f. Eks. et Penduls, Afvigelse fra Hvilestillingen|0132
|Elongation (astron.), Vinkelafstand, specielt den Vinkelafstand, hvori en Planet staar fra Solen|0132
|Elopura, se Sandakan.|0132
|eloquentia (lat.), Veltalenhed|0132
|Élouges, By i Kongeriget Belgien, Prov. Hainaut, Station paa Jernbanen Mons-Quiévrain|0132
|El Paso, Navn paa en meksikansk og paa en amer. By, der ligger lige over for hinanden|0132
|1) E. P. i Meksiko, der ogsaa kaldes E. P. del Norte ell. Ciudad Juarez|0132
|2) E. P. i U. S. A., Stat Teksas, er dog af endnu større Vigtighed som Handelsby|0132
|Elpasolit, et hidtil kun ufuldstændig kendt Mineral fra Pikes Peak-Egnen, El Paso County i Colorado|0133
|Elpenor, en af Odysseus' Mænd, der beruset havde lagt sig til at sove paa Taget i Kirke's Bolig|0133
|Elphinstone, George, Viscount af Keith, eng. Admiral, (1746-1823)|0133
|Elphinstone, Mountstuart, eng. Statsmand, (1779-1859)|0133
|Elpidit, et specielt grønlandsk Mineral, der findes i Pegmatitgange ved Narsarsuk i Julianehaab Distrikt|0133
|Elpistiker er i den gr. Filosofi Betegnelsen for en Tænker, der grunder sin Opfattelse alene paa Haab|0133
|Elreno, El Reno, By i U. S. A.. Stat Oklahoma, ligger 65 km SV. f. Guthrie i Nærheden af Fort Reno|0133
|Elritse, se Karpefisk.|0133
|Elsa, Flod i Mellemitalien, udspringer i det toskanske Højland V. f. Siena|0133
|Elsass (lat. Alsatia, fr. Alsace), tidligere fr. Prov., nu en Del af det tyske Rigsland Elsass-Lothringen|0133-0134
|Elsasser, Friedrich August, tysk Maler, (1810-1845)|0134
|Elsass-Lothringen, tysk Rigsland, omfatter de Omraader, der blev afstaaet af Frankrig til det tyske Rige|0134-0138
|Elsdyr (Alces), norsk Elg, se Hjorte.|0138
|Elsdyr-Antilope, se Antiloper.|0138
|Else, dansk Kvindenavn, opstaaet af det bibelske Elisabeth|0138
|Elsehoved, Fyns Østkyst, 13 Sm. S. f. Nyborg|0138
|Elsheimer (Elzheimer), Adam, tysk Maler og Raderer, (1578-1610)|0138
|Elsholtzia, se Kryddermynte.|0138
|Eiskamp, Max, belgisk Digter, (1862- )|0138-0139
|Elskov, Kærlighed mellem Mand og Kvinde, især som gensidig Følelse|0139
|Elskovshof (Kærlighedshof, Kærlighedsdomstol) er den danske Betegnelse for, hvad der paa Fransk kaldes cour d'amour|0139
|Elster, to Floder i Mellemtyskland, hørende til Elb-Systemet. |0139
|1) Weisse-E. udspringer paa E.-Bjergene paa Grænsen mellem Böhmen og Sachsen|0139
|2) Schwarze-E. udspringer i Oberlausitz i Sachsen|0139
|Elster, i Reglen kaldet Bad E., Landsby og Badested i Kongeriget Sachsen tæt ved den bøhmiske Grænse|0139-0140
|Elster, Ernst, tysk Sproglærd, (1860- )|0140
|Elster, Johann Philipp Ludwig Julius, tysk Fysiker, (1854- )|0140
|Elster, Kristian Mandrup, norsk Forf., (1841-1881)|0140-0141
|Elster, Kristian, norsk Forf., (1881- )|0141
|Elster, Ludwig, tysk Socialøkonom, (1856- )|0141
|Elswick, se Newcastle.|0141
|Elszler, 1) Fanny, Balletdanserinde, (1810-1884)|0141
|2) Therese E., (1808-1878), Balletdanserinde|0141
|Elteke, ass. Altaqu, en Levitstad i Nærheheden af Ekron|0141
|Eltham, Landsby i det sydøstlige England, Grevskabet London, S. f. Woolwich|0141
|Elton, Saltsø i det sydøstlige Rusland, ligger midt i en øde, mennesketom Steppe, 160 km ØNØ. f. Volga-Knæet ved Zarizyn|0141-0142
|Elton, James Frederick, britisk Afrikarejsende (1840-77)|0142
|El-Tor-Vibrioner maa betragtes som en Afart af Koleravibrionen|0142
|Eltz, Biflod til Mosel, udspringer i Eifel, løber mod SØ. og udmunder ved Moselkern|0142
|Elu, det gamle singhalesiske Litteratursprog (kendt fra 12. Aarh. og senere)|0142
|Elucidarius, se Lucidarius.|0142
|elucidere (lat.), belyse, oplyse, forklare; Elucidation, Belysning, Oplysning, Forklaring.|0142
|eludere (lat.), undgaa noget; forpurre, kuldkaste noget, omgaa; narre, skuffe.|0142
|Elukhen, Alexander, russ. Komponist, (1876- )|0142
|Elul, i den senere israelitiske, fra Babylonerne optagne, Kalender den 6. Maaned, nærmest svarende til vor September|0142
|Elura, se Ellora.|0142
|Eluru (Ellore), By i det sydøstlige Forindien, Prov. Madras, Distrikt Kistoa|0142
|Elution (lat.), Elustriation, pulverformede Stoffers Rensning ved Udvaskning|0142
|Eluvium ell. eluviale Dannelser|0142
|Elv er en især i Norge brugelig Benævnelse for en Flod|0142
|I nordisk Folketro knyttes to Arter af overnaturlige Væsener til E.: |0142
|1) kvindelige Væsener (i Mytologien nævnte som Jættemøer)|0142
|2) I Modsætning til dem opfattes de mandlige Væsener ikke som selve E., men som havende deres Bolig i E.|0142
|Elvan, en i Cornwall og Devonshire i Gange optrædende Bjergart|0142-0143
|Elvas, sp. Yelves, By i det sydlige Portugal, Prov. Alemtejo, ligger 265 km Ø. f. Lissabon|0143
|Elvebakken, et i Alten Herred, Finmarkens Amt|0143
|Elvedalen, Særbenævnelse for en Del af Glommen-Dalen mellem Tønsæt og Aamot Herreder|0143
|Elvedgaard, Hovedgaard i Skovby Herred, NV. f. Odense|0143
|Elvegaardsmoen ligger ved Bunden af Herjangen Fjord N. f. Narvik i Ankenes Herred, Nordlands Amt|0143
|Elvegrimer, »de bistre Folk ved Elven« (Göta-elv)|0143
|Elvekonge, se Vandstær.|0143
|Elvénd (Alvend) Dagh, de Gamles Orontes, 3270 m høj Bjerggruppe i det vestlige Persien|0143
|Elverfolk, Ellefolk, sv. Elvor, norsk Alvefolk; hos de nordiske Folk Navne paa smaa, luftige Væsener|0143-0146
|Elverhøj, |0146
|1) en Høj, der tros beboet af Elverfolk; |0146
|2) dansk Folkevise; |0146
|3) Skuespil af J. L. Heiberg 1828.|0146
|Elverskud, |0146
|1) i nordisk Folketro en af Elverfolk paaført Sygdom, |0146
|2) nordisk Folkevise, en ejendommelig Omformning af en over en stor Del af Europa udbredt Folkevise|0146
|Elverum Herred, Søndre Østerdalen Fogderi, Hedemarkens Amt|0146-0147
|Elvius, Sofus Helenus, dansk Genealog, (1849- )|0147
|Elwart, Antoine Amable Elie, fr. Musiker (1808-77)|0147
|Elwood , By i U. S. A., Stat Indiana, ligger 64 km NØ. f. Indianapolis|0147
|Ely, By i det østlige England, Cambridgeshire, ligger V. f. Ouse, 24 km NNØ. f. Cambridge|0147
|Ely, Richard Theodore, amer. Socialøkonom, (1854- )|0147
|Elymas, »Vismand«, Benævnelse for en jødisk Mager, Barjesus|0147
|Elymus, se Marehalm.|0147
|Elyria, By i U, S. A., Stat Ohio, ligger 15 km fra Lake Erie ved Black River|0147
|Elysée, se Paris.|0147
|Elysiidæ, smaa nøgne Havsnegle uden Gæller, med Hudaandedræt og fimrende Kropoverflade|0147
|Elysion. I Grækernes ældste episke Digtning: den Forestilling, at enkelte Mennesker lever evigt uden Sorg og Savn|0147-0148
|Elytritis (gr.), Betændelse af Moderskeden, er oftest overfladisk, katarralsk,|0148
|Elytrocele (gr.;, Fremfald af Moderskeden.|0148
|Elytron, d. s. s. Vagina.|0148
|Elytron, d. s. s. Dækvinger (s. d.).|0148
|Elytrorafi (gr.), d. s. s. Kolporafi.|0148
|Elz, Biflod i højre Bred til Rhinen, udspringer paa Schwarzwald|0148
|Elze, Karl Friedrich, tysk Litteraturhistoriker, (1821-1889)|0148
|Elzevir (ogsaa stavet Elzevier, Elsevier eller Elsevir), berømt hollandsk Bogtrykker- og Forlæggerfamilie|0148-0149
|Elæa, d. s. s. Elaia.|0149
|Elæagnus L., Slægt af Sølvbladfam., smaa Træer ell. Buske hyppig med Grentorne.|0149
|Elæis Jacq.. Slægt af Palmerne (Kokos-Gruppen), store Træer med tyk, opret ell. nedliggende Stamme|0149
|Elæocéccaolie, se Aleuritesolie.|0149-0150
|elæodorisk (gr.), blandet med Olie (om Voks, der benyttedes til Oldtidens enkaustiske Maleri, se Voksmaleri).|0150
|Elæolit, se Nefelin.|0150
|Elæolitsyenit, se Nefelinsyenit.|0150
|Elæometer (gr.) kaldes undertiden et særlig til Olier bestemt Aræometer.|0150
|Elæopten, se Olier, æteriske.|0150
|Elæosaccharum, d. s. s. Oliesukker (s. d.).|0150
|Em kalder man den Taage, som viser sig over varmt, især kogende Vand|0150
|emacerere (lat.), udmarve, afmagre, udsulte; Emaceration, Udmarvning, Udsultning, Afmagring.|0150
|émail à jour, se Emaille.|0150
|émail brun (fr.), ukorrekt Betegnelse for en Teknik, der intet har at gøre med Emaille|0150
|émail champlevé; é. cloisonné , se Emaille.|0150
|Emaille (fransk email, italiensk smalto) (hermed l Tavle), letflydende Glassorter, som paasmeltes Metalgenstande|0150-0155
|Emaillefarver. Ved E. forstaas dels egentlige E., dels forsk. Malerfarver|0155
|Emaillefotografi|0155
|Emaillemaleri, se Emaille.|0155
|emaillere, se Emaille.|0155
|Emanation (egl. Udflyden) i Filosofien om den Proces, hvorved de lavere Former for Væren antages at udgaa fra de højere|0155-0156
|Emanation (lat.), Udstrømning. |0156
|l)Emanationsteori, d. s. s. Emissionsteori (se Ly s).|0156
|2) E., radioaktive Luftarter, der opstaar ved Omdannelse af Radium, Thorium og Aktinium, se Radioaktivitet.|0156
|Emancipation (lat. emancipatio). I Romerretten: den retslige Handling, hvorved et Barn frigjordes fra Fædrenemagten|0156
|Emancipationsakten kaldes det eng. Parlaments Akt af 13. Apr. 1829; om Katolikkernes »Emancipation« i det britiske Rige|0156
|emancipere (lat.), frigøre; gøre ligeberettiget; e. sig, frigøre sig; afkaste et Afhængighedsforhold|0156
|emanere (af lat. emanare), udstrømme, udspringe, udgaa, men ogsaa brugt i aktiv Bet.: lade udgaa, udstede|0156
|Emanium, se Aktinium.|0156
|Emants, Marcellus, holl. Forf. (1848- )|0156
|Emanuel I (port. Dom Manoel, den Store eller den Lykkelige, Konge af Portugal, (1469-1521)|0156
|Emanuel Philibert, Hertug af Savojen, (1528-1580)|0157
|Emanuel-Stil kaldes den tidlige Renaissancestil i Portugal|0157
|Emathien hed i Oldtiden den centrale Del af Makedonien, fra den thermæiske Bugt til Bjergene Bora og Bermios|0157
|Emaus, d. s. s. Emmaus.|0157
|Emba, Flod i Kirgisersteppen, den russ. Prov. Uralsk, udspringer paa Mugodjar-Bjergene N. f. Aral-Søen|0157
|Embach, estisk Emma-jöggi, Flod i det vestlige Rusland, Guv. Livland|0157
|Emballage (fr.), den Indpakning, hvormed en Vare forsynes for at kunne forsendes og være Genstand for Handelsomsætning|0157
|Embargo (af sp. embargar, anholde), en i offentligretlig Øjemed foretagen Beslaglæggelse af en fremmed Nations Skibe|0157
|embarkere (af fr. embarquer), indskibe; indlade Fragt; Embarkement, Indskibning, Indladning af Varer.|0157
|embarras(fr.), Forvirring, Forlegenhed; Ulejlighed|0157
|Embaterion (gr.), Krigs- ell. Marchsang.|0158
|Embede, Tjeneste ell. overdraget Hverv|0158-0159
|Embede, Kristi tredobbelte E., er det Skema, hvorefter den traditionelle Dogmatik har behandlet Jesu Frelsesværk|0159-0160
|Embedsadel, Adel, hvis Adelskab beror paa Embedsstilling ell. Afstamning fra nogen, der har beklædt en saadan|0160
|Embedsalder er den Tid, en Embedsmand har været i Embede|0160
|Embedsbestalling, se Bestalling.|0160
|Embedsbog, se Embedsprotokoller.|0160
|Embedsbolig, en Bolig, der er knyttet til Indehavelsen af et Embede|0160-0161
|Embedsdistrikt, se Distrikt og Embedskreds.|0161
|Embedsdragt bruges om den fra den alm. borgerlige afvigende Paaklædning|0161
|Embedsed. Efter de fleste Staters Love aflægger Embedsmændene ved Tjenestens Tiltrædelse en skriftlig edelig Forsikring|0161
|Embedseksamen, den et saakaldet Embedsstudium afsluttende Prøve|0161
|Embedsemolumenter, Betegnelsen for de med et Embede forbundne forskellige Indtægter|0161
|Embedsforbrydelser *c: strafbare Handlinger, hvorved en Embeds- ell. Bestillingsmand krænker sine særlige Pligter|0161-0163
|Embedsfortabelse. de forsk. Maader, paa hvilke en Embedsmand kan miste sit Embede|0163
|Embedshemmelighed. Embedsmænds Pligt til at hemmeligholde, hvad de under deres Embedsgerning maatte have erfaret|0163-0164
|Embedsjord, se Embedsbolig.|0164
|Embedskreds, det stedlige Omraade, inden for hvilket det tilkommer en Embedsmand at udøve sin Embedsmyndighed|0164
|Embedslæge. Danmarks E. er dels Amtslæger, dels Kredslæger|0164
|Embedsløn, se Lønning.|0164
|Embedsmand kaldes den, der beklæder et Embede|0164-0169
|Embedsmisbrug og Overskridelse af Embedsmyndighed.|0169
|Embedsprotokoller anskaffes af Embedet|0169
|Embedsrang, den af Embedsstillingen følgende Plads i Rangforordningen, se Rang.|0169
|Embedsskat (1768-1845) indført Skat til Staten af Embedsindtægter og Pensioner|0169
|Embedstavshed, se Embedshemmelighed.|0169
|Embedstegn. Med visse Tjenestestillinger er forbundet et ydre Embeds- ell. Bestillingstegn ell. Mærke|0169
|Embedstitulatur, den Betegnelse, som i det officielle Sprog bruges i Henvendelser til Embedets Indehaver|0169
|Embelia Burm., Slægt af Myrsinaceer med 50-60 Arter, krybende Buske|0169
|Emberiza, se Værlinger.|0169
|Embla, i nordisk Gudedigtning den første Kvinde, skabt sammen med Manden Ask af to Træer paa Strandbredden.|0170
|Emblem kaldtes i Oldtiden Relieffer af Metal, der som Dekoration anbragtes paa Kar o. a. Genstande|0170
|Emblica, se Phyllanthus.|0170
|Emboli (gr.), Tilstopning af Aarerne ved et i disse cirkulerende fremmed Legeme|0170
|Embolit (Klorbromsølv), et Mineral, der bestaar af Klorsølv og Bromsølv i varierende Blanding |0170
|Embolus, se Emboli.|0170
|Embonpoint, ved godt Huld, Førhed, Fyldighed, Korpulence.|0170
|Emborg, se Øm Kloster.|0170
|Emborg, Jens Laursøn, dansk Komponist, (1876- )|0170
|Embouchure, se Ansats.|0170
|embrassere (fr.), omarme, omfavne, kysse.|0170
|Embrasure (fr.), Dør- ell. Vinduesaabning med skraat tilbagevigende Sider for at skaffe tilstrækkeligt Lys i Lokalet|0170
|Embrasure, se Skydeskaar.|0170
|Embritit, d. s. s. Boulangerit.|0170
|embrouillere (aff r. embrouiller), bringe i Forvirring, Uorden.|0170
|Embrun, By i det sydøstlige Frankrig, Dept Hautes-Alpes, ved Foden af det 2544 m høje St Guillaume|0170-0171
|Embryo(græsk: »Kim«, af spire), Foster, egl. den ufødte Frugt i Moders Liv, saa længe endnu ikke alle Formdele er udviklede|0171
|Embryo (bot.), se Kim.|0171
|Embryogeni (gr.), Fosterets Tilbliven og Udvikling, henh. Læren herom (se Foster).|0171
|Embryologi (gr.), den Gren af den zool.-anatom. Videnskab, som behandler Organismens Udformning|0171-0172
|Embryonalhinder, d. s. s. Fosterhinder.|0172
|embryonalt Væv (bot.) er ungt, «endnu delingsdygtigt Parenkym|0172
|embryonisk (embryonal), uudviklet.|0172
|Embryosæk d. s. s. Kimsæk, se Foster.|0172
|Embryotomi (gr.), Sønderdeling af Fosteret, en Fødselsoperation, der anvendes, hvor Fosteret ikke kan bringes til Verden|0172
|embuscade (fr.), Baghold.|0172
|Emde, se Karpefisk.|0172
|Emden, tidligere Embden, By i Kongeriget Preussen, Prov. Hannover, Ostfriesland, ikke langt fra Mundingen af Ems|0172
|Emelé, Wilhelm, tysk Slagmaler, (1830-1905)|0172
|emenda (nylat. og ital., fr. amende), Pengebod, Bøde. e. saxonica, Penge, der betales til Afværgelse af Straf.|0173
|emendere (af lat. emendare), rette, berigtige, forbedre. Emendation, Rettelse, Berigtigelse, Forbedring|0173
|Emeraldin, d. s. s. Aldehydgrønt.|0173
|Emergenser (lat.) (bot.) er sværere Haardannelser, som opstaar ved Delinger i de under Overhuden liggende Cellelag|0173
|Émeric-David, Toussaint Bernard, fr. Kunsthistoriker (1755-1839)|0173
|emeritus (lat.: udtjent), der opr. betegnede en udtjent rom. Soldat|0173
|Emersion (lat.), et Himmellegemes Udtrædelse af et andets Skygge|0173
|Emerson, Ralph  Waldo, amer. Forf., (1803-1882)|0173-0174
|Emery, Carlo, ital. Zoolog, (1848- )|0174
|Emerylit, d. s. s. Margarit, se Sprødglimmer.|0174
|Emesa, se Hemesa.|0174
|Emeticum (gr. - lat.), d. s. s. Brækmiddel. Emetokathartlcum, Brækmiddel, der samtidig virker afførende.|0174
|Emetin, C<sub>28</sub>H<sub>40</sub>N<sub>2</sub>0<sub>5</sub>, den virksomme Bestanddel i Brækrod (Radix Ipecacuantiæ)|0174
|émeute (fr.), Mytteri, Opstand, Oprør.|0174
|Emfase (gr.), et retorisk Virkemiddel, der ved sammentrængt Kraft i Udtrykket lader dette betyde mere, end der egl. udtales|0174
|Emfolit, d. s. s. Diaspor.|0174
|Emfysem (gr.), egl.: Oppustning med Luft, Tilstand, hvor Luft er trængt ind i Organismens Bindevæv|0174-0175
|Emfyteusis (gr.), et ejendommeligt romerretligt Forpagtningsforhold|0175
|Emigranter, i Alm. Udvandrere, nærmest saadanne, som af politiske og religiøse Grunde forlader deres Hjemland|0175-0176
|emigrere (lat.), udvandre; Emigration, Udvandring, Emigrant, Udvandrer, se Udvandring|0176
|Émile, se Rousseau, J. J.|0176
|Emilia, Landskab i Kongeriget Italien, udfylder Trekanten mellem Apenninerne, Po-Floden og Adriaterhavet|0176
|Emilia Cass., Slægt af Kurvblomstrede (Asters-Gruppen), Urter|0176
|Emin (arab.: paalidelig) |0176
|1) anvendes i Tyrkisk i Betydningen Forstander, Direktør|0176
|2) E. er Navnet paa en af Kalifen Harun-al-Rashid's Sønner|0176
|3) E. er det tyrk. Navn paa en russ. Forf. Feodor Alexandrovitsch (1735-70)|0176
|Emine Balkan, den østligste, i Kap Emine Burún i Sortehavet fremspringende Del af Balkan|0176
|Eminence (lat.), en Titel, som forhen undertiden tillagdes Kejsere og Konger samt Biskopper|0176-0177
|eminent (lat.), fremragende, fortrinlig; deraf Eminence (s. d.).|0177
|Eminescu, Mihail, rum. Digter, (1850-1889)|0177
|Emin Pasha, Eduard Schnitzer (1840-92), tysk Opdagelsesrejsende, Administrator og Naturforsker|0177-0178
|Emir (arab.: Høvding, Anfører) er nu Titlen paa de nordafrikanske Stammers Overhoveder|0178
|Emir Beshir er Navnet paa en af Drusernes berømteste Høvdinger|0178
|Emissaria Santorini (lat.) kaldes smaa Vener, der forbinder Venerne i Kraniet med Hudvenerne|0178
|Emission (lat.: Udsendelse), den Handling, hvorved noget udgives, udstedes, sættes i Omløb|0178
|Emissionsbank, en Bank, hvis Opgave er at emittere (udstede) Sedler, Aktier ell. Obligationer|0178
|Emissionskurs. Ved Udstedelsen af nye Aktier ell. Fremlæggelsen af nye Laan plejer man at fastsætte Tegningskurs|0178-0179
|Emissionsspektre, se Spektralanalyse.|0179
|Emissionsteori, se Lys.|0179
|Emissær (lat.), Udsending.|0179
|Emiter nævnes i det gl. Test. som Moabs opr. Beboere, et Kæmpefolk.|0179
|emittere (lat.), udsende, udgive, udstede. Se Emission.|0179
|Emma, eng.-dansk Dronning, ( -1052)|0179
|Emma Vilhelmine Therese, Enkedronning af Nederlandene, (1858- )|0179
|Emma Mine, berømt Sølvmine i det nordamerikanske Territorium Utah, 40 km Ø. f. Salt Lake City.|0179
|Emmaus, By i Palæstina, omtales oftere i Makkabæerbøgerne, hos Josefos og i Talmud|0179
|Emme, to Smaafloder i Schweiz. |0179
|1) Store E udspringer i Berner Oberland N. f. Brienzer-Søen|0179
|2) Lille E. udspringer ogsaa i Berner Oberland, mien noget østligere|0179
|Emmeleia (gr.), Kordans i Tragedien.|0179
|Emmenagoga (gr.), Lægemidler, der fremkalder ell. forstærker Menstruationsblødningen|0179
